1,A1,A1,A1,A1,A2,A1,A3,A1,A3,A2,A3,A2,A2,,,,,,
2,A4,A5,A5,A3,A3,A5,A4,A1,A3,A5,A4,A2,A1,A3,A6,A1,A4,A4,A4
3,A3,A4,A6,A3,A1,A4,A1,A1,A5,A5,A4,,,,,,,,
4,A4,A4,A4,A3,A4,A6,A6,A6,A1,A1,A1,A5,A3,A2,A2,A1,A1,A3,A4
5,A1,A1,A4,A2,A4,,,,,,,,,,,,,,
6,A3,A3,A3,A1,A5,A4,,,,,,,,,,,,,
7,A4,A4,A1,A2,A1,A4,,,,,,,,,,,,,
8,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A1,A4,,,,
9,A4,A4,,,,,,,,,,,,,,,,,
10,A1,A6,A3,A5,A2,A3,A5,A5,A1,A6,A1,A3,A3,A4,A1,,,,
11,A1,A6,A3,A5,A2,A3,A5,A5,A1,A6,A1,A3,A3,A4,A1,,,,
12,A4,A4,A4,,,,,,,,,,,,,,,,
13,A2,A9,A4,A4,,,,,,,,,,,,,,,
14,A3,A4,A6,A3,A4,A4,,,,,,,,,,,,,
15,A4,A4,,,,,,,,,,,,,,,,,
16,A8,A8,A8,A5,A1,A3,A10,A11,A2,A1,A6,A1,A3,A4,,,,,
17,A6,A1,A3,A4,A4,,,,,,,,,,,,,,
18,A4,A4,,,,,,,,,,,,,,,,,
19,A1,A1,A1,A1,A1,A6,A3,,,,,,,,,,,,
20,A2,A2,A1,A6,A3,A4,,,,,,,,,,,,,
21,A3,A2,A2,A2,A1,A6,A3,,,,,,,,,,,,
22,A6,A6,A3,A4,,,,,,,,,,,,,,,
23,A6,A6,A3,A2,A1,A2,A1,A5,A3,,,,,,,,,,
24,A6,A6,A4,,,,,,,,,,,,,,,,
25,A4,,,,,,,,,,,,,,,,,,
26,A2,A1,A5,A4,A4,,,,,,,,,,,,,,
27,A2,A1,A4,,,,,,,,,,,,,,,,
28,A4,,,,,,,,,,,,,,,,,,
29,A3,A3,,,,,,,,,,,,,,,,,
30,A2,A1,A3,A6,,,,,,,,,,,,,,,
31,A5,A6,A3,A2,A1,A4,,,,,,,,,,,,,
32,A4,,,,,,,,,,,,,,,,,,
33,A5,A5,A1,A4,,,,,,,,,,,,,,,
